id,amt
2,64402
6,542361665
4,12962135
15,215633
35,10132114
48,507917583
41,48953586
53,182774666
16,59347731
49,3097991
8,100121805
56,6702037
30,115378366
40,125481806
20,342902570
31,181237008
46,178700270
38,305658439
27,87232529
29,516410999
19,142207674
5,151894555
22,77826920
26,72525711
55,50728101
17,450864704
21,90530443
47,44244167
28,117968293
18,391340550
1,35494154
12,37317276
39,180710541
45,125415251
37,221209897
51,33420605
54,1142128
24,7845395
42,25519677
10,2296797
34,4490920
36,46019675
9,1721451
44,62868
25,1923325
50,3355814
33,55332
23,4266990
32,20063041
13,93216138
